regionNow	mcHistory	mcNow	species	usda_code	family	nonnative	exclude	excludeReason	nameChangeDate
1	1	1	Carex cephalophora	CACE	Cyperaceae	0			
1	1	1	Carex conjuncta	CACO13	Cyperaceae	0			
1	1	1	Carya cordiformis	CACO15	Juglandaceae	0			
1	1	1	Cardamine concatenata	CACO26	Brassicaceae	0			
1	1	1	Carex communis	CACO7	Cyperaceae	0			
1	0	0	Carex comosa	CACO8	Cyperaceae	0			
1	1	0	Carex crinita	CACR6	Cyperaceae	0			
1	1	1	Carex cristatella	CACR7	Cyperaceae	0			
1	1	1	Carex davisii	CADA	Cyperaceae	0			
1	0	0	Carex digitalis	CADI5	Cyperaceae	0			
1	1	1	Cardamine douglassii	CADO	Brassicaceae	0			
1	1	0	Cardaria draba	CADR	Brassicaceae	1			
1	0	0	Carex echinata	CAEC	Cyperaceae	0			
1	1	1	Carex emoryi	CAEM2	Cyperaceae	0			
1	1	0	Carex festucacea	CAFE3	Cyperaceae	0			
1	1	1	Carex frankii	CAFR3	Cyperaceae	0			
1	0	1	Carya glabra	CAGL8	Juglandaceae	0			
1	0	0	Carex gracillima	CAGR2	Cyperaceae	0			
1	0	0	Carex grisea	CAGR24	Cyperaceae	0			
1	1	1	Carex granularis	CAGR3	Cyperaceae	0			
1	1	1	Carex grayi	CAGR5	Cyperaceae	0			
1	1	0	Carex gracilescens	CAGR8	Cyperaceae	0			
1	0	0	Calystegia hederacea	CAHE21	Convolvulaceae	1			
1	0	1	Cardamine hirsuta	CAHI3	Brassicaceae	1			
1	1	0	Carex hirtifolia	CAHI5	Cyperaceae	0			
1	0	0	Carex hirsutella	CAHI6	Cyperaceae	0			
1	1	0	Carex hitchcockiana	CAHI8	Cyperaceae	0			
1	1	0	Carex hyalinolepis	CAHY3	Cyperaceae	0			
1	1	1	Carex hystericina	CAHY4	Cyperaceae	0			
1	0	0	Carex intumescens	CAIN12	Cyperaceae	0			
1	1	1	Carex jamesii	CAJA2	Cyperaceae	0			
1	1	1	Carex laevivaginata	CALA14	Cyperaceae	0			
1	0	1	Carex lacustris	CALA16	Cyperaceae	0			
1	0	0	Carex laxiculmis	CALA18	Cyperaceae	0			
1	1	1	Carex laxiflora	CALA19	Cyperaceae	0			
1	1	1	Carya laciniosa	CALA21	Juglandaceae	0			
1	1	0	Carex leptalea	CALE10	Cyperaceae	0			
1	1	1	Carex leavenworthii	CALE6	Cyperaceae	0			
1	1	0	Carex lupuliformis	CALU3	Cyperaceae	0			
1	1	0	Carex lupulina	CALU4	Cyperaceae	0			
1	0	1	Carex lurida	CALU5	Cyperaceae	0			
1	0	0	Carex meadii	CAME2	Cyperaceae	0			
1	1	0	Camelina microcarpa	CAMI2	Brassicaceae	1			
1	1	1	Carex molesta	CAMO11	Cyperaceae	0			
1	1	0	Carex muskingumensis	CAMU9	Cyperaceae	0			
1	1	1	Carex normalis	CANO	Cyperaceae	0			
1	1	1	Carduus nutans	CANU4	Asteraceae	1			
1	1	0	Carex oligocarpa	CAOL2	Cyperaceae	0			
1	0	1	Celastrus orbiculatus	CAOR7	Celastraceae	1			
1	1	1	Carya ovata	CAOV2	Juglandaceae	0			
1	1	1	Caltha palustris	CAPA5	Ranunculaceae	0			
1	0	1	Calystegia pellita	CAPE	Convolvulaceae	1			
1	1	0	Cardamine pensylvanica	CAPE3	Brassicaceae	0			
1	0	0	Carex pellita	CAPE42	Cyperaceae	0			
1	1	0	Carex pensylvanica	CAPE6	Cyperaceae	0			
1	0	0	Carex prairea	CAPR6	Cyperaceae	0			
1	1	1	Campsis radicans	CARA2	Bignoniaceae	1			
1	0	1	Carex radiata	CARA8	Cyperaceae	0			
1	1	0	Carex rosea	CARO22	Cyperaceae	0			
1	1	0	Cannabis sativa	CASA3	Cannabaceae	1			
1	0	0	Carex sartwellii	CASA8	Cyperaceae	0			
1	0	0	Carex scoparia	CASC11	Cyperaceae	0			
1	1	1	Camassia scilloides	CASC5	Agavaceae	0			
1	1	1	Calystegia sepium	CASE13	Convolvulaceae	0			
1	1	1	Carex shortiana	CASH2	Cyperaceae	0			
1	0	1	Calystegia silvatica	CASI10	Convolvulaceae	0			
1	1	1	Carex sparganioides	CASP3	Cyperaceae	0			
1	0	1	Catalpa speciosa	CASP8	Bignoniaceae	1			
1	1	0	Carex squarrosa	CASQ2	Cyperaceae	0			
1	0	0	Carex sterilis	CAST16	Cyperaceae	0			
1	1	1	Carex stipata	CAST5	Cyperaceae	0			
1	0	0	Carex stricta	CAST8	Cyperaceae	0			
1	0	1	Carex suberecta	CASU5	Cyperaceae	0			
1	1	0	Carex swanii	CASW	Cyperaceae	0			
1	0	0	Carex tenera	CATE3	Cyperaceae	0			
1	1	1	Caulophyllum thalictroides	CATH2	Berberidaceae	0			
1	0	1	Carya tomentosa	CATO6	Juglandaceae	0			
1	1	1	Carex tribuloides	CATR7	Cyperaceae	0			
1	0	1	Carex trichocarpa	CATR8	Cyperaceae	0			
1	0	0	Calopogon tuberosus	CATU5	Orchidaceae	0			
1	0	0	Carex umbellata	CAUM4	Cyperaceae	0			
1	1	0	Carex utriculata	CAUT	Cyperaceae	0			
1	1	1	Carex vulpinoidea	CAVU2	Cyperaceae	0			
1	0	0	Carex willdenowii	CAWI2	Cyperaceae	0			
1	0	0	Carex woodii	CAWO2	Cyperaceae	0			
1	0	0	Ceanothus americanus	CEAM	Rhamnaceae	0			
1	1	1	Cercis canadensis	CECA4	Fabaceae	0			
1	0	0	Ceratophyllum demersum	CEDE4	Ceratophyllaceae	0			
1	1	1	Cerastium fontanum	CEFO2	Caryophyllaceae	1			
1	0	0	Cenchrus longispinus	CELO3	Poaceae	0			
1	1	0	Cerastium nutans	CENU2	Caryophyllaceae	0			
1	1	1	Celtis occidentalis	CEOC	Cannabaceae	0			
1	1	1	Cephalanthus occidentalis	CEOC2	Rubiaceae	0			
1	1	1	Celastrus scandens	CESC	Celastraceae	0			
1	1	0	Cenchrus spinifex	CESP4	Poaceae	0			
1	0	1	Centaurea stoebe	CEST8	Asteraceae	1			
1	0	1	Chenopodium album	CHAL7	Amaranthaceae	1			
1	0	0	Chamaecrista fasciculata	CHFA2	Fabaceae	0			
1	1	0	Chelone glabra	CHGL2	Plantaginaceae	0			
1	0	0	Chenopodium glaucum	CHGL3	Amaranthaceae	1			
1	1	0	Chasmanthium latifolium	CHLA5	Poaceae	1			
1	1	0	Euphorbia maculata	CHMA15	Euphorbiaceae	0			5/6/2016
1	0	0	Chelidonium majus	CHMA2	Papaveraceae	1			
1	1	0	Chaenorhinum minus	CHMI	Plantaginaceae	1			
1	1	0	Chenopodium murale	CHMU2	Amaranthaceae	1			
1	1	1	Chelone obliqua	CHOB3	Plantaginaceae	0			
1	1	0	Chaerophyllum procumbens	CHPR	Apiaceae	0			
1	0	0	Chenopodium simplex	CHSI2	Amaranthaceae	0			
1	1	0	Chenopodium standleyanum	CHST2	Amaranthaceae	0			
1	1	1	Chaerophyllum tainturieri	CHTA	Apiaceae	0			
1	1	0	Chenopodium urbicum	CHUR	Amaranthaceae	1			
1	1	0	Cirsium altissimum	CIAL2	Asteraceae	0			
1	1	1	Cinna arundinacea	CIAR2	Poaceae	0			
1	1	1	Cirsium arvense	CIAR4	Asteraceae	1			
1	1	1	Cirsium discolor	CIDI	Asteraceae	0			
1	1	1	Cichorium intybus	CIIN	Asteraceae	1			
1	1	1	Circaea lutetiana	CILU	Onagraceae	0			
1	1	1	Cicuta maculata	CIMA2	Apiaceae	0			
1	1	0	Cirsium muticum	CIMU	Asteraceae	0			
1	0	1	Cirsium vulgare	CIVU	Asteraceae	1			
1	1	1	Claytonia virginica	CLVI3	Montiaceae	0			
1	1	0	Clematis viorna	CLVI4	Ranunculaceae	1			
1	1	1	Clematis virginiana	CLVI5	Ranunculaceae	0			
1	1	0	Cornus alternifolia	COAL2	Cornaceae	0			
1	1	1	Conopholis americana	COAM	Orobanchaceae	0			
1	1	0	Cornus amomum	COAM2	Cornaceae	0			
1	1	0	Corylus americana	COAM3	Betulaceae	0			
1	1	1	Convolvulus arvensis	COAR4	Convolvulaceae	1			
1	1	1	Collinsonia canadensis	COCA4	Lamiaceae	0			
1	0	1	Conyza canadensis	COCA5	Asteraceae	0			
1	0	1	Cotinus coggygria	COCO10	Anacardiaceae	1			
1	1	1	Conoclinium coelestinum	COCO13	Asteraceae	1			
1	1	1	Commelina communis	COCO3	Commelinaceae	1			
1	1	1	Cornus drummondii	CODR	Cornaceae	0			
1	1	1	Cornus florida	COFL2	Cornaceae	0			
1	1	1	Corydalis flavula	COFL3	Papaveraceae	0			
1	0	1	Coreopsis lanceolata	COLA5	Asteraceae	0			
1	0	1	Conium maculatum	COMA2	Apiaceae	1			
1	0	1	Convallaria majalis	COMA7	Ruscaceae	1			
1	0	1	Cornus obliqua	COOB9	Cornaceae	0			
1	0	0	Corallorhiza odontorhiza	COOD7	Orchidaceae	0			
1	0	0	Conringia orientalis	COOR	Brassicaceae	1			
1	1	0	Comarum palustre	COPA28	Rosaceae	0			
1	0	1	Cornus racemosa	CORA6	Cornaceae	0			
1	0	1	Cornus sericea	COSE16	Cornaceae	0			
1	0	0	Coreopsis tripteris	COTR4	Asteraceae	0			
1	0	0	Comandra umbellata	COUM	Santalaceae	0			
1	1	0	Collinsia verna	COVE2	Plantaginaceae	0			
1	1	0	Crataegus calpodendron	CRCA	Rosaceae	0			
1	1	1	Cryptotaenia canadensis	CRCA9	Apiaceae	0			
1	1	0	Crataegus crus-galli	CRCR2	Rosaceae	0			
1	0	0	Crataegus disperma	CRDI4	Rosaceae	0			
1	0	0	Croton glandulosus	CRGL2	Euphorbiaceae	0			
1	0	0	Crataegus grandis	CRGR13	Rosaceae	0			
1	0	0	Crataegus macrosperma	CRMA3	Rosaceae	0			
1	0	0	Crataegus margarettiae	CRMA4	Rosaceae	0			
1	1	1	Crataegus mollis	CRMO2	Rosaceae	0			
1	1	0	Croton monanthogynus	CRMO6	Euphorbiaceae	0			
1	0	0	Crataegus pruinosa	CRPR2	Rosaceae	0			
1	1	1	Crataegus punctata	CRPU	Rosaceae	0			
1	0	0	Crataegus succulenta	CRSU5	Rosaceae	0			
1	1	1	Cuscuta gronovii	CUGR	Convolvulaceae	0			
1	0	0	Cuscuta polygonorum	CUPO	Convolvulaceae	0			
