,seqOrSplice,spliceRule,spliceTaxa
Crataegus_disperma,** SPLICE **,genus,
Crataegus_grandis,** SPLICE **,genus,
Crataegus_macrosperma,** SPLICE **,genus,
Crataegus_margarettiae,** SPLICE **,genus,
Crataegus_mollis,** SPLICE **,genus,
Crataegus_pruinosa,** SPLICE **,genus,
Crataegus_punctata,** SPLICE **,genus,
Crataegus_succulenta,** SPLICE **,genus,
Croton_glandulosus,seq,,
Croton_monanthogynus,seq,,
Cryptotaenia_canadensis,seq,,
Cuscuta_gronovii,seq,,
Cuscuta_polygonorum,** SPLICE **,genus,
Cycloloma_atriplicifolium,seq,,
Cynanchum_laeve,** SPLICE **,genus,
Cynodon_dactylon,seq,,
Cynoglossum_officinale,seq,,
Cyperus_bipartitus,** SPLICE **,genus,
Cyperus_erythrorhizos,** SPLICE **,genus,
Cyperus_esculentus,seq,,
Cyperus_lupulinus,** SPLICE **,genus,
Cyperus_odoratus,** SPLICE **,genus,
Cyperus_squarrosus,seq,,
Cyperus_strigosus,seq,,
Cypripedium_reginae,seq,,
Cystopteris_bulbifera,** SPLICE **,genus,
Cystopteris_protrusa,** SPLICE **,genus,
Cystopteris_tennesseensis,** SPLICE **,genus,
Dactylis_glomerata,seq,,
Dalea_purpurea,seq,,
Danthonia_spicata,seq,,
Dasiphora_fruticosa,seq,,
Dasistoma_macrophylla,seq,,
Datura_stramonium,seq,,
Daucus_carota,seq,,
Decodon_verticillatus,seq,,
Delphinium_tricorne,seq,,
Deparia_acrostichoides,** SPLICE **,mrca,Dryopteris_carthusiana|Thelypteris_palustris
Deschampsia_cespitosa,seq,,
Descurainia_pinnata,seq,,
Desmanthus_illinoensis,seq,,
Desmodium_canadense,** SPLICE **,genus,
Desmodium_canescens,seq,,
Desmodium_glabellum,** SPLICE **,genus,
Desmodium_glutinosum,seq,,
Desmodium_nudiflorum,seq,,
Desmodium_paniculatum,** SPLICE **,genus,
Desmodium_pauciflorum,seq,,
Desmodium_perplexum,** SPLICE **,genus,
Dianthus_armeria,seq,,
Diarrhena_americana,seq,,
Dicentra_canadensis,** SPLICE **,genus,
Dicentra_cucullaria,** SPLICE **,genus,
Dichanthelium_acuminatum,** SPLICE **,mrca,Panicum_capillare|Panicum_virgatum
Dichanthelium_clandestinum,** SPLICE **,genus,
Dichanthelium_commutatum,** SPLICE **,genus,
Dichanthelium_latifolium,** SPLICE **,genus,
Dichanthelium_oligosanthes,** SPLICE **,genus,
Digitaria_cognata,** SPLICE **,genus,
Digitaria_ischaemum,** SPLICE **,genus,
Digitaria_sanguinalis,seq,,
Diodia_teres,** SPLICE **,genus,
Dioscorea_quaternata,** SPLICE **,genus,
Dioscorea_villosa,seq,,
Diospyros_virginiana,seq,,
Diplazium_pycnocarpon,** SPLICE **,genus,
Dipsacus_fullonum,seq,,
Dipsacus_laciniatus,seq,,
Dirca_palustris,seq,,
Dodecatheon_meadia,** SPLICE **,genus,
Doellingeria_umbellata,seq,,
Draba_verna,seq,,
Drosera_intermedia,seq,,
Dryopteris_carthusiana,seq,,
Dryopteris_cristata,seq,,
Dryopteris_marginalis,seq,,
Duchesnea_indica,seq,,
Dulichium_arundinaceum,seq,,
Dysphania_ambrosioides,seq,,
Dysphania_botrys,seq,,
Dyssodia_papposa,seq,,
Echinacea_purpurea,seq,,
Echinochloa_crus-galli,** SPLICE **,genus,
Echinocystis_lobata,seq,,
Echium_vulgare,seq,,
Eclipta_prostrata,seq,,
Elaeagnus_angustifolia,seq,,
Elaeagnus_umbellata,seq,,
Eleocharis_acicularis,seq,,
Eleocharis_compressa,** SPLICE **,genus,
Eleocharis_erythropoda,seq,,
Eleocharis_obtusa,seq,,
Eleocharis_palustris,seq,,
Eleocharis_tenuis,seq,,
Eleusine_indica,seq,,
Ellisia_nyctelea,seq,,
Elodea_canadensis,seq,,
Elodea_nuttallii,seq,,
Elymus_canadensis,seq,,
Elymus_hystrix,seq,,
Elymus_repens,seq,,
Elymus_riparius,** SPLICE **,genus,
Elymus_villosus,** SPLICE **,genus,
Elymus_virginicus,seq,,
Enemion_biternatum,seq,,
Epifagus_virginiana,seq,,
Epilobium_coloratum,** SPLICE **,genus,
Epilobium_strictum,** SPLICE **,genus,
Equisetum_arvense,seq,,
Equisetum_hyemale,seq,,
Equisetum_laevigatum,seq,,
Eragrostis_capillaris,** SPLICE **,genus,
Eragrostis_cilianensis,seq,,
Eragrostis_frankii,** SPLICE **,genus,
Eragrostis_hypnoides,** SPLICE **,genus,
Eragrostis_pectinacea,seq,,
Eragrostis_spectabilis,seq,,
Erechtites_hieraciifolia,** SPLICE **,genus,
Erigenia_bulbosa,** SPLICE **,mrca,Sium_suave|Daucus_carota
Erigeron_annuus,seq,,
Erigeron_philadelphicus,seq,,
Erigeron_pulchellus,seq,,
Erigeron_strigosus,seq,,
Eriophorum_virginicum,** SPLICE **,genus,
Eriophorum_viridicarinatum,seq,,
Eryngium_yuccifolium,seq,,
Erysimum_cheiranthoides,seq,,
Erysimum_repandum,seq,,
Erythronium_albidum,seq,,
Erythronium_americanum,seq,,
Euonymus_alatus,seq,,
Euonymus_atropurpureus,** SPLICE **,genus,
Euonymus_fortunei,** SPLICE **,genus,
Euonymus_obovatus,** SPLICE **,genus,
Eupatorium_album,seq,,
Eupatorium_altissimum,seq,,
Eupatorium_perfoliatum,seq,,
Eupatorium_serotinum,seq,,
Euphorbia_commutata,** SPLICE **,genus,
Euphorbia_corollata,** SPLICE **,genus,
Euphorbia_cyparissias,seq,,
Euphorbia_davidii,** SPLICE **,genus,
Euphorbia_dentata,seq,,
Euphorbia_esula,seq,,
Euphorbia_maculata,seq,,
Euphorbia_marginata,** SPLICE **,genus,
Euthamia_graminifolia,seq,,
Euthamia_gymnospermoides,** SPLICE **,genus,
Eutrochium_fistulosum,seq,,
Eutrochium_maculatum,seq,,
Eutrochium_purpureum,** SPLICE **,genus,
Fagus_grandifolia,seq,,
Festuca_rubra,seq,,
Festuca_subverticillata,seq,,
Filipendula_rubra,** SPLICE **,genus,
Fimbristylis_autumnalis,** SPLICE **,genus,
Floerkea_proserpinacoides,seq,,
Fragaria_virginiana,seq,,
Frangula_alnus,seq,,
Fraxinus_americana,seq,,
Fraxinus_nigra,seq,,
Fraxinus_pennsylvanica,seq,,
Fraxinus_profunda,seq,,
Fraxinus_quadrangulata,seq,,
Froelichia_gracilis,seq,,
Galearis_spectabilis,seq,,
Galinsoga_quadriradiata,seq,,
Galium_aparine,seq,,
Galium_asprellum,** SPLICE **,genus,
Galium_circaezans,seq,,
Galium_concinnum,** SPLICE **,genus,
Galium_obtusum,seq,,
Galium_tinctorium,seq,,
Galium_trifidum,seq,,
Galium_triflorum,seq,,
Gamochaeta_purpurea,seq,,
Gaura_biennis,** SPLICE **,genus,
Gaura_mollis,** SPLICE **,genus,
Gentiana_andrewsii,** SPLICE **,genus,
Gentiana_saponaria,seq,,
Gentianella_quinquefolia,seq,,
Gentianopsis_virgata,** SPLICE **,genus,
Geranium_carolinianum,seq,,
Geranium_maculatum,** SPLICE **,genus,
Geranium_robertianum,seq,,
Geum_canadense,** SPLICE **,genus,
Geum_laciniatum,** SPLICE **,genus,
Geum_vernum,seq,,
Glechoma_hederacea,seq,,
Gleditsia_triacanthos,seq,,
Glyceria_septentrionalis,** SPLICE **,genus,
Glyceria_striata,seq,,
Gratiola_neglecta,seq,,
Grindelia_squarrosa,** SPLICE **,genus,
Gymnocladus_dioicus,** SPLICE **,genus,
Hackelia_virginiana,** SPLICE **,genus,
Hamamelis_virginiana,seq,,
Hasteola_suaveolens,** SPLICE **,mrca,Packera_aurea|Senecio_vulgaris
Hedeoma_pulegioides,** SPLICE **,genus,
Hedera_helix,seq,,
Helenium_autumnale,seq,,
Helianthus_annuus,seq,,
Helianthus_decapetalus,seq,,
Helianthus_divaricatus,seq,,
Helianthus_giganteus,seq,,
Helianthus_grosseserratus,seq,,
Helianthus_hirsutus,seq,,
Helianthus_microcephalus,seq,,
Helianthus_mollis,seq,,
Helianthus_pauciflorus,** SPLICE **,genus,
Helianthus_petiolaris,** SPLICE **,genus,
Helianthus_strumosus,** SPLICE **,genus,
Helianthus_tuberosus,seq,,
Heliopsis_helianthoides,** SPLICE **,mrca,Helianthus_annuus|Echinacea_purpurea
Hemerocallis_fulva,seq,,
Hepatica_nobilis,seq,,
Heracleum_maximum,seq,,
Hesperis_matronalis,seq,,
Heuchera_americana,seq,,
Hibiscus_laevis,seq,,
Hibiscus_moscheutos,** SPLICE **,genus,
Hibiscus_trionum,seq,,
Hordeum_jubatum,seq,,
Hordeum_pusillum,seq,,
Hosta_ventricosa,seq,,
Houstonia_longifolia,** SPLICE **,genus,
Houstonia_purpurea,seq,,
Humulus_japonicus,seq,,
Humulus_lupulus,seq,,
Hybanthus_concolor,seq,,
Hydrangea_arborescens,seq,,
Hydrangea_paniculata,seq,,
Hydrastis_canadensis,seq,,
Hydrophyllum_appendiculatum,** SPLICE **,genus,
Hydrophyllum_canadense,seq,,
Hydrophyllum_macrophyllum,** SPLICE **,genus,
Hydrophyllum_virginianum,seq,,
Hypericum_ascyron,seq,,
Hypericum_boreale,seq,,
Hypericum_canadense,** SPLICE **,genus,
Hypericum_mutilum,seq,,
Hypericum_perforatum,seq,,
Hypericum_prolificum,seq,,
Hypericum_punctatum,seq,,
Hypericum_sphaerocarpum,seq,,
Hypoxis_hirsuta,seq,,
Ilex_opaca,seq,,
Ilex_verticillata,seq,,
Impatiens_capensis,seq,,
Impatiens_pallida,seq,,
Inula_helenium,seq,,
Iodanthus_pinnatifidus,seq,,
Ipomoea_hederacea,seq,,
Ipomoea_pandurata,seq,,
Ipomoea_purpurea,seq,,
Iris_brevicaulis,seq,,
Iris_germanica,seq,,
Iris_virginica,** SPLICE **,genus,
Jeffersonia_diphylla,seq,,
Juglans_cinerea,seq,,
Juglans_nigra,seq,,
Juncus_acuminatus,** SPLICE **,genus,
Juncus_brachycephalus,seq,,
Juncus_canadensis,seq,,
Juncus_dudleyi,seq,,
Juncus_effusus,seq,,
Juncus_nodosus,seq,,
Juncus_tenuis,seq,,
Juncus_torreyi,** SPLICE **,genus,
Juniperus_virginiana,seq,,
Justicia_americana,seq,,
Krigia_biflora,seq,,
Kummerowia_stipulacea,seq,,
Kyllinga_pumila,** SPLICE **,genus,
Lactuca_biennis,seq,,
Lactuca_canadensis,seq,,
Lactuca_floridana,seq,,
Lactuca_saligna,seq,,
Lactuca_sativa,seq,,
Lactuca_serriola,seq,,
Lamium_amplexicaule,seq,,
Lamium_purpureum,seq,,
Laportea_canadensis,seq,,
Lappula_squarrosa,seq,,
Lapsana_communis,seq,,
Lathyrus_latifolius,seq,,
Lathyrus_palustris,seq,,
Leersia_lenticularis,** SPLICE **,genus,
Leersia_oryzoides,seq,,
Leersia_virginica,** SPLICE **,genus,
Lemna_minor,seq,,
Lemna_trisulca,seq,,
Leonurus_cardiaca,** SPLICE **,genus,
Lepidium_campestre,seq,,
Lepidium_densiflorum,seq,,
Lepidium_virginicum,seq,,
Lespedeza_capitata,seq,,
Lespedeza_cuneata,seq,,
Lespedeza_frutescens,seq,,
Lespedeza_violacea,seq,,
Leucanthemum_vulgare,seq,,
Leucospora_multifida,** SPLICE **,mrca,Gratiola_neglecta|Plantago_major
Liatris_spicata,seq,,
Ligustrum_obtusifolium,seq,,
Lilium_michiganense,seq,,
Linaria_vulgaris,seq,,
Lindera_benzoin,seq,,
Lindernia_dubia,** SPLICE **,genus,
Liparis_liliifolia,seq,,
Liparis_loeselii,seq,,
Lipocarpha_micrantha,** SPLICE **,genus,
Liquidambar_styraciflua,seq,,
Liriodendron_tulipifera,seq,,
Lithospermum_canescens,seq,,
Lithospermum_latifolium,seq,,
Lobelia_cardinalis,seq,,
Lobelia_inflata,seq,,
Lobelia_kalmii,seq,,
Lobelia_siphilitica,seq,,
Lobelia_spicata,** SPLICE **,genus,
Lolium_perenne,seq,,
Lolium_pratense,** SPLICE **,genus,
Lonicera_japonica,seq,,
Lonicera_maackii,seq,,
Lonicera_morrowii,seq,,
Lonicera_tatarica,seq,,
Lonicera_xbella,** SPLICE **,genus,
Lotus_corniculatus,seq,,
Ludwigia_palustris,seq,,
Ludwigia_peploides,seq,,
Lunaria_annua,seq,,
Luzula_echinata,** SPLICE **,genus,
Luzula_multiflora,seq,,
Lycium_barbarum,seq,,
Lycopus_americanus,** SPLICE **,genus,
Lycopus_rubellus,** SPLICE **,genus,
Lycopus_uniflorus,seq,,
Lycopus_virginicus,** SPLICE **,genus,
