region	MC Hist	MC Now	Species	Family	Status	Growth form	Life form	Life Span	Clonality 	Spinescence	Leaf Periodicity 1=evergreen 2=deciduous 3=semi-evergreen	Dispersal mode	Pollination System	FOREST	WOODLAND	SCRUBLAND	DWARF SCRUB	NATURAL GRASSLAND	SEMI-NATURAL GRASSLAND	COASTAL DUNES	H2O FRESH	H2O SALINE	DESERT	RIPARIAN	ANTHROPOGNEIC	AGRICULTURAL	
1	1	1	Amaranthus hybridus	Amaranthaceae	1	1	5	1	1	0	2	2	1						1						1		2
1	1	0	Amaranthus retroflexus	Amaranthaceae	1	1	5	1	1	0	2	1	0						1						1		2
1	1	0	Amaranthus spinosus	Amaranthaceae	1	1	5	1	1	1	2	2	0						1						1		2
1	1	1	Amaranthus tuberculatus	Amaranthaceae	0	1	6	1	1	0	2	6	0								1						1
1	1	1	Ambrosia artemisiifolia	Asteraceae	0	1	5	1	1	0	2	4	1						1						1		2
1	1	1	Ambrosia trifida	Asteraceae	0	1	5	1	1	0	2	4	0						1						1		2
1	0	1	Amorpha fruticosa	Fabaceae	0	4	1	3	1	0	2	1	1		1									1			2
1	0	1	Amphicarpaea bracteata	Fabaceae	0	8	5	"1,3"	1	0	2	4	1	1	1	1											3
1	1	0	Andropogon gerardii	Poaceae	0	3	4	3	3	0	2	2	0						1								1
1	1	0	Andropogon virginicus	Poaceae	1	3	3	3	1	0	2	2	0		1				1								2
1	1	1	Anemone canadensis	Ranunculaceae	0	1	4	3	3	0	2	1	1						1								1
1	1	1	Anemone virginiana	Ranunculaceae	0	1	3	3	1	0	2	1	1		1												1
1	0	1	Angelica atropurpurea	Apiaceae	0	1	3	3	1	0	2	6	1		1						1						2
1	1	1	Antennaria neglecta	Asteraceae	0	1	2	3	1	0	1	2	1		1				1								2
1	0	0	Antennaria parlinii	Asteraceae	0	1	2	3	1	0	1	2	1		1				1								2
1	1	0	Antennaria plantaginifolia	Asteraceae	0	1	2	3	1	0	1	2	1		1				1								2
1	1	1	Anthemis arvensis	Asteraceae	1	1	3	1	1	0	2	1	1						1						1		2
1	1	0	Anthemis cotula	Asteraceae	1	1	3	1	1	0	2	1	1						1						1		2
1	0	1	Apios americana	Fabaceae	0	8	4	3	3	0	2	3	1	1	1												2
1	0	1	Aplectrum hyemale	Orchidaceae	0	1	4	3	3	0	2	2	1	1	1												2
1	0	1	Apocynum androsaemifolium	Apocynaceae	0	1	3	3	1	0	2	2	1	1	1				1						1		4
1	1	1	Apocynum cannabinum	Apocynaceae	0	1	3	3	1	0	2	2	1			1			1								2
1	1	0	Aquilegia canadensis	Ranunculaceae	0	1	3	3	1	0	2	1	1		1		1										2
1	0	1	Arabis hirsuta	Brassicaceae	0	1	3	"1,2,3"	1	0	2	2	1					1						1			2
1	1	1	Arabis laevigata	Brassicaceae	0	1	3	2	1	0	2	2	1	1	1												2
1	0	0	Arabis shortii	Brassicaceae	0	1	3	"2,3"	1	0	2	1	1	1	1												2
1	0	1	Aralia hispida	Araliaceae	0	4	1	3	3	1	2	3	1	1	1												2
1	0	0	Aralia racemosa	Araliaceae	0	1	3	3	2	0	2	3	1	1	1												2
1	0	1	Arailia spinosa	Araliaceae	0	"4,5"	1	3	1	1	2	3	1		1						1						2
1	1	1	Arctium minus	Asteraceae	1	1	3	2	1	1	1	4	1						1						1		2
1	1	1	Arenaria serpyllifolia	Caryophyllaceae	1	1	5	1	1	0	2	1	1	1					1	1				1	1		5
1	1	1	Arisaema dracontium	Araceae	0	1	4	3	3	0	2	3	1	1	1												2
1	1	1	Arisaema triphyllum	Araceae	0	1	4	3	3	0	2	3	1	1	1						1						3
1	1	0	Aristida longespica	Poaceae	0	3	5	1	1	0	2	3	0						1								1
1	1	0	Aristida oligantha	Poaceae	1	3	5	1	1	0	2	3	0						1								1
1	1	1	Aristolochia serpentaria	Aristolochiaceae	0	1	4	3	3	0	2	1	1	1	1												2
1	0	0	Aristolochia tomentosa	Aristolochiaceae	0	8	?	3	2	0	2	1	1		1												1
1	0	0	Armoracia rusticana	Brassicaceae	1	1	3	3	1	0	2	"1,2"	1						1						1		2
1	1	1	Arnoglossum atriplicifolium	Asteraceae	0	1	3	3	1	0	2	2	1		1												1
1	0	0	Arnoglossum plantagineum	Asteraceae	0	1	3	3	1	0	2	2	1					1			1						2
1	1	1	Arnoglossum reniforme	Asteraceae	0	1	"3,5"	3	1	0	2	"1, ?"	1		1												1
1	1	0	Arrhenatherum elatius	Poaceae	1	3	3	3	1	0	2	1	0						1						1		2
1	1	1	Artemisia annua	Asteraceae	1	1	5	1	1	0	2	2	1						1						1		2
1	0	0	Artemisia biennis	Asteraceae	1	1	5	"1,2"	1	0	2	1	0						1					1	1		3
1	0	1	Artemisia vulgaris	Asteraceae	1	1	3	3	3	0	2	1	0												1	1	2
1	1	1	Asarum canadense	Aristolochiaceae	0	1	3	3	3	0	2	4	1	1	1												2
